measure,year,county_name,numerator,denominator,rate,rate_lower,rate_upper
Population,2023,Montgomery,868742,NA,NA,NA,NA
Population,2023,Montour,17860,NA,NA,NA,NA
Population,2023,Northampton,319091,NA,NA,NA,NA
Population,2023,Northumberland,90120,NA,NA,NA,NA
Population,2023,Perry,46083,NA,NA,NA,NA
Population,2023,Philadelphia,1550542,NA,NA,NA,NA
Population,2023,Pike,61247,NA,NA,NA,NA
Population,2023,Potter,15999,NA,NA,NA,NA
Population,2023,Schuylkill,143786,NA,NA,NA,NA
Population,2023,Snyder,39717,NA,NA,NA,NA
Population,2023,Somerset,72197,NA,NA,NA,NA
Population,2023,Sullivan,5834,NA,NA,NA,NA
Population,2023,Susquehanna,38109,NA,NA,NA,NA
Population,2023,Tioga,40840,NA,NA,NA,NA
Population,2023,Union,42042,NA,NA,NA,NA
Population,2023,Venango,49431,NA,NA,NA,NA
Population,2023,Warren,37572,NA,NA,NA,NA
Population,2023,Washington,210232,NA,NA,NA,NA
Population,2023,Wayne,51262,NA,NA,NA,NA
Population,2023,Westmoreland,351163,NA,NA,NA,NA
Population,2023,Wyoming,25902,NA,NA,NA,NA
Population,2023,York,464640,NA,NA,NA,NA
Population,2023,Pennsylvania,12961683,NA,NA,NA,NA
Population per square mile,2023,Adams,106748,518.67,205.8,204.6,207
Population per square mile,2023,Allegheny,1224825,730.07,1677.7,1674.7,1680.7
Population per square mile,2023,Armstrong,64074,653.2,98.1,97.3,98.9
Population per square mile,2023,Beaver,165631,434.71,381,379.2,382.8
Population per square mile,2023,Bedford,47350,1012.3,46.8,46.4,47.2
Population per square mile,2023,Berks,432821,856.51,505.3,503.8,506.8
Population per square mile,2023,Blair,120273,525.8,228.7,227.5,230
Population per square mile,2023,Bradford,59695,1147.4,52,51.6,52.4
Population per square mile,2023,Bucks,645984,604.31,1069,1066.4,1071.6
Population per square mile,2023,Butler,198413,788.6,251.6,250.5,252.7
Population per square mile,2023,Cambria,130668,688.35,189.8,188.8,190.9
Population per square mile,2023,Cameron,4380,396.23,11.1,10.7,11.4
Population per square mile,2023,Carbon,65458,381.46,171.6,170.3,172.9
Population per square mile,2023,Centre,157795,1109.92,142.2,141.5,142.9
Population per square mile,2023,Chester,549784,750.51,732.5,730.6,734.5
Population per square mile,2023,Clarion,36970,600.83,61.5,60.9,62.2
Population per square mile,2023,Clearfield,77090,1144.72,67.3,66.9,67.8
Population per square mile,2023,Clinton,37607,887.98,42.4,41.9,42.8
Population per square mile,2023,Columbia,65439,483.11,135.5,134.4,136.5
Population per square mile,2023,Crawford,82001,1012.3,81,80.5,81.6
Population per square mile,2023,Cumberland,270738,545.46,496.3,494.5,498.2
Population per square mile,2023,Dauphin,289234,525.05,550.9,548.9,552.9
Population per square mile,2023,Delaware,576720,183.84,3137.1,3129,3145.2
Population per square mile,2023,Elk,30198,827.36,36.5,36.1,36.9
Population per square mile,2023,Erie,267571,799.15,334.8,333.6,336.1
Population per square mile,2023,Fayette,123915,790.34,156.8,155.9,157.7
Population per square mile,2023,Forest,6449,427.19,15.1,14.7,15.5
Population per square mile,2023,Franklin,157854,772.22,204.4,203.4,205.4
Population per square mile,2023,Fulton,14468,437.55,33.1,32.5,33.6
Population per square mile,2023,Greene,34357,575.95,59.7,59,60.3
Population per square mile,2023,Huntingdon,43514,874.64,49.8,49.3,50.2
Population per square mile,2023,Indiana,83094,827.03,100.5,99.8,101.2
Population per square mile,2023,Jefferson,43612,652.43,66.8,66.2,67.5
Population per square mile,2023,Juniata,23243,391.35,59.4,58.6,60.2
Population per square mile,2023,Lackawanna,216123,459.08,470.8,468.8,472.8
Population per square mile,2023,Lancaster,558589,943.81,591.8,590.3,593.4
Population per square mile,2023,Lawrence,84472,358.18,235.8,234.2,237.4
Population per square mile,2023,Lebanon,144252,361.83,398.7,396.6,400.7
Population per square mile,2023,Lehigh,377754,345.17,1094.4,1090.9,1097.9
Population per square mile,2023,Luzerne,327388,890.33,367.7,366.5,369
Population per square mile,2023,Lycoming,112724,1228.59,91.8,91.2,92.3
Population per square mile,2023,McKean,39519,979.2,40.4,40,40.8
Population per square mile,2023,Mercer,108503,672.57,161.3,160.4,162.3
Population per square mile,2023,Mifflin,45922,411.03,111.7,110.7,112.7
Population per square mile,2023,Monroe,166053,608.29,273,271.7,274.3
Population per square mile,2023,Montgomery,868742,483.04,1798.5,1794.7,1802.3
Population per square mile,2023,Montour,17860,130.24,137.1,135.1,139.1
Population per square mile,2023,Northampton,319091,369.67,863.2,860.2,866.2
Population per square mile,2023,Northumberland,90120,458.37,196.6,195.3,197.9
Population per square mile,2023,Perry,46083,551.45,83.6,82.8,84.3
Population per square mile,2023,Philadelphia,1550542,134.1,11562.6,11544.4,11580.8
Population per square mile,2023,Pike,61247,544.96,112.4,111.5,113.3
Population per square mile,2023,Potter,15999,1081.32,14.8,14.6,15
Population per square mile,2023,Schuylkill,143786,778.63,184.7,183.7,185.6
Population per square mile,2023,Snyder,39717,328.71,120.8,119.6,122
Population per square mile,2023,Somerset,72197,1074.37,67.2,66.7,67.7
Population per square mile,2023,Sullivan,5834,449.94,13,12.6,13.3
Population per square mile,2023,Susquehanna,38109,823.43,46.3,45.8,46.7
Population per square mile,2023,Tioga,40840,1133.79,36,35.7,36.4
Population per square mile,2023,Union,42042,315.98,133.1,131.8,134.3
Population per square mile,2023,Venango,49431,674.28,73.3,72.7,74
Population per square mile,2023,Warren,37572,884.13,42.5,42.1,42.9
Population per square mile,2023,Washington,210232,856.99,245.3,244.3,246.4
Population per square mile,2023,Wayne,51262,725.6,70.6,70,71.3
Population per square mile,2023,Westmoreland,351163,1027.55,341.7,340.6,342.9
Population per square mile,2023,Wyoming,25902,397.32,65.2,64.4,66
Population per square mile,2023,York,464640,904.18,513.9,512.4,515.4
Population per square mile,2023,Pennsylvania,12961683,44742.7,289.7,289.5,289.9
Population percent change since 2020,2023,Adams,2953,103795,2.8,NA,NA
Population percent change since 2020,2023,Allegheny,-23892,1248717,-1.9,NA,NA
Population percent change since 2020,2023,Armstrong,-1371,65445,-2.1,NA,NA
Population percent change since 2020,2023,Beaver,-2101,167732,-1.3,NA,NA
Population percent change since 2020,2023,Bedford,-173,47523,-0.4,NA,NA
Population percent change since 2020,2023,Berks,4127,428694,1,NA,NA
Population percent change since 2020,2023,Blair,-2245,122518,-1.8,NA,NA
Population percent change since 2020,2023,Bradford,-163,59858,-0.3,NA,NA
Population percent change since 2020,2023,Bucks,-24,646008,-0,NA,NA
Population percent change since 2020,2023,Butler,4562,193851,2.4,NA,NA
Population percent change since 2020,2023,Cambria,-2289,132957,-1.7,NA,NA
Population percent change since 2020,2023,Cameron,-139,4519,-3.1,NA,NA
Population percent change since 2020,2023,Carbon,707,64751,1.1,NA,NA
Population percent change since 2020,2023,Centre,-134,157929,-0.1,NA,NA
Population percent change since 2020,2023,Chester,15139,534645,2.8,NA,NA
Population percent change since 2020,2023,Clarion,-208,37178,-0.6,NA,NA
Population percent change since 2020,2023,Clearfield,-3304,80394,-4.1,NA,NA
Population percent change since 2020,2023,Clinton,257,37350,0.7,NA,NA
Population percent change since 2020,2023,Columbia,772,64667,1.2,NA,NA
Population percent change since 2020,2023,Crawford,-1722,83723,-2.1,NA,NA
Population percent change since 2020,2023,Cumberland,10742,259996,4.1,NA,NA
Population percent change since 2020,2023,Dauphin,2690,286544,0.9,NA,NA
Population percent change since 2020,2023,Delaware,332,576388,0.1,NA,NA
Population percent change since 2020,2023,Elk,-729,30927,-2.4,NA,NA
Population percent change since 2020,2023,Erie,-2856,270427,-1.1,NA,NA
Population percent change since 2020,2023,Fayette,-4478,128393,-3.5,NA,NA
Population percent change since 2020,2023,Forest,-503,6952,-7.2,NA,NA
Population percent change since 2020,2023,Franklin,1980,155874,1.3,NA,NA
Population percent change since 2020,2023,Fulton,-81,14549,-0.6,NA,NA
Population percent change since 2020,2023,Greene,-1456,35813,-4.1,NA,NA
Population percent change since 2020,2023,Huntingdon,-516,44030,-1.2,NA,NA
Population percent change since 2020,2023,Indiana,-22,83116,-0,NA,NA
Population percent change since 2020,2023,Jefferson,-819,44431,-1.8,NA,NA
Population percent change since 2020,2023,Juniata,-208,23451,-0.9,NA,NA
Population percent change since 2020,2023,Lackawanna,607,215516,0.3,NA,NA
Population percent change since 2020,2023,Lancaster,5992,552597,1.1,NA,NA
Population percent change since 2020,2023,Lawrence,-1393,85865,-1.6,NA,NA
Population percent change since 2020,2023,Lebanon,1010,143242,0.7,NA,NA
Population percent change since 2020,2023,Lehigh,3250,374504,0.9,NA,NA
Population percent change since 2020,2023,Luzerne,2331,325057,0.7,NA,NA
Population percent change since 2020,2023,Lycoming,-1256,113980,-1.1,NA,NA
Population percent change since 2020,2023,McKean,-787,40306,-2,NA,NA
Population percent change since 2020,2023,Mercer,-1830,110333,-1.7,NA,NA
Population percent change since 2020,2023,Mifflin,-151,46073,-0.3,NA,NA
Population percent change since 2020,2023,Monroe,-2195,168248,-1.3,NA,NA
Population percent change since 2020,2023,Montgomery,11795,856947,1.4,NA,NA
Population percent change since 2020,2023,Montour,-255,18115,-1.4,NA,NA
Population percent change since 2020,2023,Northampton,6236,312855,2,NA,NA
Population percent change since 2020,2023,Northumberland,-1351,91471,-1.5,NA,NA
Population percent change since 2020,2023,Perry,262,45821,0.6,NA,NA
Population percent change since 2020,2023,Philadelphia,-50463,1601005,-3.2,NA,NA
Population percent change since 2020,2023,Pike,2656,58591,4.5,NA,NA
Population percent change since 2020,2023,Potter,-357,16356,-2.2,NA,NA
Population percent change since 2020,2023,Schuylkill,1009,142777,0.7,NA,NA
Population percent change since 2020,2023,Snyder,0,39717,0,NA,NA
Population percent change since 2020,2023,Somerset,-1720,73917,-2.3,NA,NA
Population percent change since 2020,2023,Sullivan,-4,5838,-0.1,NA,NA
Population percent change since 2020,2023,Susquehanna,-245,38354,-0.6,NA,NA
Population percent change since 2020,2023,Tioga,-129,40969,-0.3,NA,NA
Population percent change since 2020,2023,Union,-583,42625,-1.4,NA,NA
Population percent change since 2020,2023,Venango,-844,50275,-1.7,NA,NA
Population percent change since 2020,2023,Warren,-908,38480,-2.4,NA,NA
Population percent change since 2020,2023,Washington,1075,209157,0.5,NA,NA
Population percent change since 2020,2023,Wayne,161,51101,0.3,NA,NA
Population percent change since 2020,2023,Westmoreland,-2835,353998,-0.8,NA,NA
Population percent change since 2020,2023,Wyoming,-99,26001,-0.4,NA,NA
Population percent change since 2020,2023,York,8251,456389,1.8,NA,NA
Population percent change since 2020,2023,Pennsylvania,-27942,12989625,-0.2,NA,NA
Percent aged under 18,2023,Adams,20785,106748,19.5,19.2,19.7
Percent aged under 18,2023,Allegheny,229016,1224825,18.7,18.6,18.8
Percent aged under 18,2023,Armstrong,11881,64074,18.5,18.2,18.9
Percent aged under 18,2023,Beaver,31525,165631,19,18.8,19.2
Percent aged under 18,2023,Bedford,9089,47350,19.2,18.8,19.6
Percent aged under 18,2023,Berks,94881,432821,21.9,21.8,22.1
Percent aged under 18,2023,Blair,24200,120273,20.1,19.9,20.4
Percent aged under 18,2023,Bradford,13026,59695,21.8,21.4,22.2
Percent aged under 18,2023,Bucks,125876,645984,19.5,19.4,19.6
Percent aged under 18,2023,Butler,38493,198413,19.4,19.2,19.6
Percent aged under 18,2023,Cambria,25163,130668,19.3,19,19.5
Percent aged under 18,2023,Cameron,768,4380,17.5,16.3,18.8
Percent aged under 18,2023,Carbon,12106,65458,18.5,18.2,18.8
Percent aged under 18,2023,Centre,23366,157795,14.8,14.6,15
Percent aged under 18,2023,Chester,119857,549784,21.8,21.7,21.9
Percent aged under 18,2023,Clarion,7446,36970,20.1,19.7,20.6
Percent aged under 18,2023,Clearfield,13961,77090,18.1,17.8,18.4
Percent aged under 18,2023,Clinton,7648,37607,20.3,19.9,20.8
Percent aged under 18,2023,Columbia,11719,65439,17.9,17.6,18.2
Percent aged under 18,2023,Crawford,16820,82001,20.5,20.2,20.8
Percent aged under 18,2023,Cumberland,56377,270738,20.8,20.7,21
Percent aged under 18,2023,Dauphin,63897,289234,22.1,21.9,22.3
Percent aged under 18,2023,Delaware,127734,576720,22.1,22,22.3
Percent aged under 18,2023,Elk,5674,30198,18.8,18.3,19.3
Percent aged under 18,2023,Erie,55860,267571,20.9,20.7,21
Percent aged under 18,2023,Fayette,23024,123915,18.6,18.3,18.8
Percent aged under 18,2023,Forest,192,6449,3,2.6,3.4
Percent aged under 18,2023,Franklin,34173,157854,21.6,21.4,21.9
Percent aged under 18,2023,Fulton,2808,14468,19.4,18.7,20.1
Percent aged under 18,2023,Greene,6472,34357,18.8,18.4,19.3
Percent aged under 18,2023,Huntingdon,7859,43514,18.1,17.7,18.5
Percent aged under 18,2023,Indiana,15122,83094,18.2,17.9,18.5
Percent aged under 18,2023,Jefferson,9078,43612,20.8,20.4,21.2
Percent aged under 18,2023,Juniata,5023,23243,21.6,21,22.2
Percent aged under 18,2023,Lackawanna,44372,216123,20.5,20.3,20.7
Percent aged under 18,2023,Lancaster,128019,558589,22.9,22.8,23
Percent aged under 18,2023,Lawrence,16680,84472,19.7,19.4,20
Percent aged under 18,2023,Lebanon,32170,144252,22.3,22.1,22.5
Percent aged under 18,2023,Lehigh,83620,377754,22.1,22,22.3
Percent aged under 18,2023,Luzerne,66499,327388,20.3,20.2,20.5
Percent aged under 18,2023,Lycoming,23087,112724,20.5,20.2,20.7
Percent aged under 18,2023,McKean,7586,39519,19.2,18.8,19.6
Percent aged under 18,2023,Mercer,20466,108503,18.9,18.6,19.1
Percent aged under 18,2023,Mifflin,10235,45922,22.3,21.9,22.7
Percent aged under 18,2023,Monroe,31305,166053,18.9,18.6,19.1
Percent aged under 18,2023,Montgomery,182040,868742,21,20.9,21.1
Percent aged under 18,2023,Montour,3448,17860,19.3,18.7,20
Percent aged under 18,2023,Northampton,61711,319091,19.3,19.2,19.5
Percent aged under 18,2023,Northumberland,17502,90120,19.4,19.1,19.7
Percent aged under 18,2023,Perry,9433,46083,20.5,20.1,20.9
Percent aged under 18,2023,Philadelphia,330745,1550542,21.3,21.3,21.4
Percent aged under 18,2023,Pike,10241,61247,16.7,16.4,17
Percent aged under 18,2023,Potter,3134,15999,19.6,18.9,20.3
Percent aged under 18,2023,Schuylkill,28295,143786,19.7,19.4,19.9
Percent aged under 18,2023,Snyder,8195,39717,20.6,20.2,21.1
Percent aged under 18,2023,Somerset,12769,72197,17.7,17.4,18
Percent aged under 18,2023,Sullivan,605,5834,10.4,9.5,11.2
Percent aged under 18,2023,Susquehanna,7015,38109,18.4,18,18.8
Percent aged under 18,2023,Tioga,8069,40840,19.8,19.3,20.2
Percent aged under 18,2023,Union,7471,42042,17.8,17.4,18.2
Percent aged under 18,2023,Venango,9288,49431,18.8,18.4,19.2
Percent aged under 18,2023,Warren,7296,37572,19.4,19,19.9
Percent aged under 18,2023,Washington,40918,210232,19.5,19.3,19.7
Percent aged under 18,2023,Wayne,8374,51262,16.3,16,16.7
Percent aged under 18,2023,Westmoreland,62736,351163,17.9,17.7,18
Percent aged under 18,2023,Wyoming,4939,25902,19.1,18.5,19.6
Percent aged under 18,2023,York,100073,464640,21.5,21.4,21.7
Percent aged under 18,2023,Pennsylvania,2639255,12961683,20.4,20.3,20.4
Percent aged 65 and over,2023,Adams,23904,106748,22.4,22.1,22.7
Percent aged 65 and over,2023,Allegheny,254947,1224825,20.8,20.7,20.9
Percent aged 65 and over,2023,Armstrong,15796,64074,24.7,24.3,25
Percent aged 65 and over,2023,Beaver,38555,165631,23.3,23,23.5
Percent aged 65 and over,2023,Bedford,11647,47350,24.6,24.2,25
Percent aged 65 and over,2023,Berks,79873,432821,18.5,18.3,18.6
Percent aged 65 and over,2023,Blair,26630,120273,22.1,21.9,22.4
Percent aged 65 and over,2023,Bradford,13704,59695,23,22.6,23.3
Percent aged 65 and over,2023,Bucks,137710,645984,21.3,21.2,21.4
Percent aged 65 and over,2023,Butler,42351,198413,21.3,21.1,21.5
Percent aged 65 and over,2023,Cambria,32112,130668,24.6,24.3,24.8
Percent aged 65 and over,2023,Cameron,1329,4380,30.3,28.7,32
Percent aged 65 and over,2023,Carbon,15105,65458,23.1,22.7,23.4
Percent aged 65 and over,2023,Centre,25891,157795,16.4,16.2,16.6
Percent aged 65 and over,2023,Chester,101244,549784,18.4,18.3,18.5
Percent aged 65 and over,2023,Clarion,7711,36970,20.9,20.4,21.3
Percent aged 65 and over,2023,Clearfield,17430,77090,22.6,22.3,22.9
Percent aged 65 and over,2023,Clinton,7766,37607,20.7,20.2,21.1
Percent aged 65 and over,2023,Columbia,13427,65439,20.5,20.2,20.9
Percent aged 65 and over,2023,Crawford,19096,82001,23.3,23,23.6
Percent aged 65 and over,2023,Cumberland,52515,270738,19.4,19.2,19.6
Percent aged 65 and over,2023,Dauphin,53618,289234,18.5,18.4,18.7
Percent aged 65 and over,2023,Delaware,103693,576720,18,17.9,18.1
Percent aged 65 and over,2023,Elk,7416,30198,24.6,24,25.1
Percent aged 65 and over,2023,Erie,54370,267571,20.3,20.1,20.5
Percent aged 65 and over,2023,Fayette,28839,123915,23.3,23,23.5
Percent aged 65 and over,2023,Forest,1697,6449,26.3,25.1,27.6
Percent aged 65 and over,2023,Franklin,32571,157854,20.6,20.4,20.9
Percent aged 65 and over,2023,Fulton,3347,14468,23.1,22.4,23.9
Percent aged 65 and over,2023,Greene,7390,34357,21.5,21,22
Percent aged 65 and over,2023,Huntingdon,9904,43514,22.8,22.3,23.2
Percent aged 65 and over,2023,Indiana,17482,83094,21,20.7,21.4
Percent aged 65 and over,2023,Jefferson,9951,43612,22.8,22.4,23.3
Percent aged 65 and over,2023,Juniata,5022,23243,21.6,21,22.2
Percent aged 65 and over,2023,Lackawanna,45269,216123,20.9,20.8,21.1
Percent aged 65 and over,2023,Lancaster,112749,558589,20.2,20.1,20.3
Percent aged 65 and over,2023,Lawrence,20172,84472,23.9,23.6,24.2
Percent aged 65 and over,2023,Lebanon,29944,144252,20.8,20.5,21
Percent aged 65 and over,2023,Lehigh,68317,377754,18.1,17.9,18.2
Percent aged 65 and over,2023,Luzerne,66598,327388,20.3,20.2,20.5
Percent aged 65 and over,2023,Lycoming,23837,112724,21.1,20.9,21.4
Percent aged 65 and over,2023,McKean,8532,39519,21.6,21.1,22
Percent aged 65 and over,2023,Mercer,25728,108503,23.7,23.4,24
Percent aged 65 and over,2023,Mifflin,10168,45922,22.1,21.7,22.6
Percent aged 65 and over,2023,Monroe,33856,166053,20.4,20.2,20.6
Percent aged 65 and over,2023,Montgomery,168332,868742,19.4,19.3,19.5
Percent aged 65 and over,2023,Montour,4003,17860,22.4,21.7,23.1
Percent aged 65 and over,2023,Northampton,66409,319091,20.8,20.7,21
Percent aged 65 and over,2023,Northumberland,20431,90120,22.7,22.4,23
Percent aged 65 and over,2023,Perry,9769,46083,21.2,20.8,21.6
Percent aged 65 and over,2023,Philadelphia,235398,1550542,15.2,15.1,15.2
Percent aged 65 and over,2023,Pike,15326,61247,25,24.6,25.4
Percent aged 65 and over,2023,Potter,4217,15999,26.4,25.6,27.2
Percent aged 65 and over,2023,Schuylkill,30639,143786,21.3,21.1,21.5
Percent aged 65 and over,2023,Snyder,8309,39717,20.9,20.5,21.4
Percent aged 65 and over,2023,Somerset,17700,72197,24.5,24.2,24.9
Percent aged 65 and over,2023,Sullivan,1911,5834,32.8,31.3,34.2
Percent aged 65 and over,2023,Susquehanna,9914,38109,26,25.5,26.5
Percent aged 65 and over,2023,Tioga,9791,40840,24,23.5,24.4
Percent aged 65 and over,2023,Union,8371,42042,19.9,19.5,20.3
Percent aged 65 and over,2023,Venango,12737,49431,25.8,25.3,26.2
Percent aged 65 and over,2023,Warren,9511,37572,25.3,24.8,25.8
Percent aged 65 and over,2023,Washington,47424,210232,22.6,22.4,22.8
Percent aged 65 and over,2023,Wayne,13335,51262,26,25.6,26.5
Percent aged 65 and over,2023,Westmoreland,87503,351163,24.9,24.8,25.1
Percent aged 65 and over,2023,Wyoming,6013,25902,23.2,22.6,23.8
Percent aged 65 and over,2023,York,89418,464640,19.2,19.1,19.4
Percent aged 65 and over,2023,Pennsylvania,2595674,12961683,20,20,20.1
Percent white,2023,Adams,NA,106748,NA,NA,NA
Percent black,2023,Adams,NA,106748,NA,NA,NA
Percent asian/pacific islander,2023,Adams,NA,106748,NA,NA,NA
Percent hispanic,2023,Adams,NA,106748,NA,NA,NA
Percent white,2023,Allegheny,968258,1224825,79.1,78.9,79.2
Percent black,2023,Allegheny,165081,1224825,13.5,13.4,13.5
Percent asian/pacific islander,2023,Allegheny,56055,1224825,4.6,4.5,4.6
Percent hispanic,2023,Allegheny,36325,1224825,3,2.9,3
Percent white,2023,Armstrong,NA,64074,NA,NA,NA
Percent black,2023,Armstrong,NA,64074,NA,NA,NA
Percent asian/pacific islander,2023,Armstrong,NA,64074,NA,NA,NA
Percent hispanic,2023,Armstrong,NA,64074,NA,NA,NA
Percent white,2023,Beaver,NA,165631,NA,NA,NA
Percent black,2023,Beaver,NA,165631,NA,NA,NA
Percent asian/pacific islander,2023,Beaver,NA,165631,NA,NA,NA
Percent hispanic,2023,Beaver,NA,165631,NA,NA,NA
Percent white,2023,Bedford,NA,47350,NA,NA,NA
Percent black,2023,Bedford,NA,47350,NA,NA,NA
Percent asian/pacific islander,2023,Bedford,NA,47350,NA,NA,NA
Percent hispanic,2023,Bedford,NA,47350,NA,NA,NA
Percent white,2023,Berks,369200,432821,85.3,85,85.6
Percent black,2023,Berks,36589,432821,8.5,8.4,8.5
Percent asian/pacific islander,2023,Berks,NA,432821,NA,NA,NA
Percent hispanic,2023,Berks,109612,432821,25.3,25.2,25.5
Percent white,2023,Blair,NA,120273,NA,NA,NA
Percent black,2023,Blair,NA,120273,NA,NA,NA
Percent asian/pacific islander,2023,Blair,NA,120273,NA,NA,NA
Percent hispanic,2023,Blair,NA,120273,NA,NA,NA
Percent white,2023,Bradford,NA,59695,NA,NA,NA
Percent black,2023,Bradford,NA,59695,NA,NA,NA
Percent asian/pacific islander,2023,Bradford,NA,59695,NA,NA,NA
Percent hispanic,2023,Bradford,NA,59695,NA,NA,NA
Percent white,2023,Bucks,561222,645984,86.9,86.7,87.1
Percent black,2023,Bucks,31012,645984,4.8,4.7,4.9
Percent asian/pacific islander,2023,Bucks,38350,645984,5.9,5.9,6
Percent hispanic,2023,Bucks,43213,645984,6.7,6.6,6.8
Percent white,2023,Butler,NA,198413,NA,NA,NA
Percent black,2023,Butler,NA,198413,NA,NA,NA
Percent asian/pacific islander,2023,Butler,NA,198413,NA,NA,NA
Percent hispanic,2023,Butler,NA,198413,NA,NA,NA
Percent white,2023,Cambria,NA,130668,NA,NA,NA
Percent black,2023,Cambria,NA,130668,NA,NA,NA
Percent asian/pacific islander,2023,Cambria,NA,130668,NA,NA,NA
Percent hispanic,2023,Cambria,NA,130668,NA,NA,NA
Percent white,2023,Cameron,NA,4380,NA,NA,NA
Percent black,2023,Cameron,NA,4380,NA,NA,NA
Percent asian/pacific islander,2023,Cameron,NA,4380,NA,NA,NA
Percent hispanic,2023,Cameron,NA,4380,NA,NA,NA
Percent white,2023,Carbon,NA,65458,NA,NA,NA
Percent black,2023,Carbon,NA,65458,NA,NA,NA
Percent asian/pacific islander,2023,Carbon,NA,65458,NA,NA,NA
Percent hispanic,2023,Carbon,NA,65458,NA,NA,NA
Percent white,2023,Centre,NA,157795,NA,NA,NA
Percent black,2023,Centre,NA,157795,NA,NA,NA
Percent asian/pacific islander,2023,Centre,NA,157795,NA,NA,NA
Percent hispanic,2023,Centre,NA,157795,NA,NA,NA
Percent white,2023,Chester,460034,549784,83.7,83.4,83.9
Percent black,2023,Chester,34909,549784,6.3,6.3,6.4
Percent asian/pacific islander,2023,Chester,40763,549784,7.4,7.3,7.5
Percent hispanic,2023,Chester,45790,549784,8.3,8.3,8.4
Percent white,2023,Clarion,NA,36970,NA,NA,NA
Percent black,2023,Clarion,NA,36970,NA,NA,NA
Percent asian/pacific islander,2023,Clarion,NA,36970,NA,NA,NA
Percent hispanic,2023,Clarion,NA,36970,NA,NA,NA
Percent white,2023,Clearfield,NA,77090,NA,NA,NA
Percent black,2023,Clearfield,NA,77090,NA,NA,NA
Percent asian/pacific islander,2023,Clearfield,NA,77090,NA,NA,NA
Percent hispanic,2023,Clearfield,NA,77090,NA,NA,NA
Percent white,2023,Clinton,NA,37607,NA,NA,NA
Percent black,2023,Clinton,NA,37607,NA,NA,NA
Percent asian/pacific islander,2023,Clinton,NA,37607,NA,NA,NA
Percent hispanic,2023,Clinton,NA,37607,NA,NA,NA
Percent white,2023,Columbia,NA,65439,NA,NA,NA
Percent black,2023,Columbia,NA,65439,NA,NA,NA
Percent asian/pacific islander,2023,Columbia,NA,65439,NA,NA,NA
Percent hispanic,2023,Columbia,NA,65439,NA,NA,NA
Percent white,2023,Crawford,NA,82001,NA,NA,NA
Percent black,2023,Crawford,NA,82001,NA,NA,NA
Percent asian/pacific islander,2023,Crawford,NA,82001,NA,NA,NA
Percent hispanic,2023,Crawford,NA,82001,NA,NA,NA
Percent white,2023,Cumberland,NA,270738,NA,NA,NA
Percent black,2023,Cumberland,NA,270738,NA,NA,NA
Percent asian/pacific islander,2023,Cumberland,NA,270738,NA,NA,NA
Percent hispanic,2023,Cumberland,NA,270738,NA,NA,NA
Percent white,2023,Dauphin,200119,289234,69.2,68.9,69.5
