geographic_area,geographic_name,gender,age,year,time_period,time_period_dates,rate_of_pregnant_women_with_oud_diagnosis,type_of_rate,number_of_women_with_a_delivery_and_oud_diagnosis,number_of_women_with_a_delivery_and_oud_diagnosis_notes,number_of_women_with_a_delivery_and_oud_description,total_number_of_deliveries,total_number_of_deliveries_notes,total_number_of_deliveries_description,county_code_number,county_code_text,state_fips_code,county_fips_code,georeferenced_latitude_longitude,county,date,age_group,tot_pop,tot_male,tot_female,wa_male,wa_female,ba_male,ba_female,ia_male,ia_female,aa_male,aa_female,na_male,na_female,tom_male,tom_female,wac_male,wac_female,bac_male,bac_female,iac_male,iac_female,aac_male,aac_female,nac_male,nac_female,nh_male,nh_female,nhwa_male,nhwa_female,nhba_male,nhba_female,nhia_male,nhia_female,nhaa_male,nhaa_female,nhna_male,nhna_female,nhtom_male,nhtom_female,nhwac_male,nhwac_female,nhbac_male,nhbac_female,nhiac_male,nhiac_female,nhaac_male,nhaac_female,nhnac_male,nhnac_female,h_male,h_female,hwa_male,hwa_female,hba_male,hba_female,hia_male,hia_female,haa_male,haa_female,hna_male,hna_female,htom_male,htom_female,hwac_male,hwac_female,hbac_male,hbac_female,hiac_male,hiac_female,haac_male,haac_female,hnac_male,hnac_female,geo_id_ct,region,subreg3,met_nonmet2023,met_nonmet2013,beale2013,hi_pov60,hi_pov70,hi_pov80,hi_pov90,hi_pov00,hi_pov0711,hi_pov1519,hi_pov1721,ext_pov60,ext_pov70,ext_pov80,ext_pov90,ext_pov00,ext_pov0711,ext_pov1519,ext_pov1721,per_pov90,per_pov00,per_pov0711,per_pov1519,per_pov1721,endure_pov0711,endure_pov1519,endure_pov1721
County,Union,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,126,NA,Deliveries (live births or still births),60,60,42,119,POINT (-77.06415803 40.96473131),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,York,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,31.98,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",59,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1845,NA,Deliveries (live births or still births),67,67,42,133,POINT (-76.72576052 39.92192531),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Franklin,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,43.01,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",24,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,558,NA,Deliveries (live births or still births),28,28,42,055,POINT (-77.72398845 39.92786197),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Erie,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,43.39,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",67,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1544,NA,Deliveries (live births or still births),25,25,42,049,POINT (-80.0407591 41.99413787),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Perry,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,173,NA,Deliveries (live births or still births),50,50,42,099,POINT (-77.25907385 40.40415317),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Lehigh,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,15.86,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",30,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1891,NA,Deliveries (live births or still births),39,39,42,077,POINT (-75.60099481 40.61464794),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Snyder,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,104,NA,Deliveries (live births or still births),55,55,42,109,POINT (-77.07255968 40.77113737),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Warren,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,NA,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",NA,Not displayed when total number of women with deliveries and Opioid Use Disorder Diagnosis is less than 11,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,137,NA,Deliveries (live births or still births),62,62,42,123,POINT (-79.27858158 41.81675237),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Venango,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,138.61,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",28,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,202,NA,Deliveries (live births or still births),61,61,42,121,POINT (-79.76286561 41.40341259),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Centre,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,92.74,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",23,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,248,NA,Deliveries (live births or still births),14,14,42,027,POINT (-77.82500112 40.9193135),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Erie,Female,12 to 55 years,2019-07-01,2019 Annual,1/1/2019-12/31/2019,36.85,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",59,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1601,NA,Deliveries (live births or still births),25,25,42,049,POINT (-80.0407591 41.99413787),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,York,Female,12 to 55 years,2016-07-01,2016 Annual,1/1/2016-12/31/2016,40.25,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",70,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,1739,NA,Deliveries (live births or still births),67,67,42,133,POINT (-76.72576052 39.92192531),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Perry,Female,12 to 55 years,2018-07-01,2018 Annual,1/1/2018-12/31/2018,101.27,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",16,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,158,NA,Deliveries (live births or still births),50,50,42,099,POINT (-77.25907385 40.40415317),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Butler,Female,12 to 55 years,2020-07-01,2020 Annual,1/1/2020-12/31/2020,121.55,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",44,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,362,NA,Deliveries (live births or still births),10,10,42,019,POINT (-79.91711779 40.91083185),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
County,Carbon,Female,12 to 55 years,2017-07-01,2017 Annual,1/1/2017-12/31/2017,85.6,"Rate of women with deliveries and Opioid Use Disorder per 1,000 deliveries",22,NA,Women with a delivery diagnosed with Opioid Use Disorder in Medicaid,257,NA,Deliveries (live births or still births),13,13,42,025,POINT (-75.71107039 40.91936701),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
